"","date","time","es","er","nq","ym","emd","Time","hour","minute","second","Date","day","month","daynum","year","chges","chgym","chger","chgemd","chgnq","for30es","for30ym","for30er","for30emd","for30nq","espre","minutenum","minuteback","row","eresa","monthnum","closees","closeer","closeemd","closenq","closeym","closeeresa","chgeresa","backeresa","forward1eresa","pes","pchges","per","pchger","pym","pchgym","pnq","pchgnq","pemd","pchgemd","maxeresa","mineresa","rangeeresa","pchange","pchange3","pback","dependent_variable","train_test_variable"
"1","12/14/15","07:00:00","1999.00","1113.1","4524.25","1714.7","1378.1","25200000","7","0","0","20436","14","12","3306","2015"," -3.75"," -4.000000","-4.4000244","-6.500000"," -6.00"," 0.00"," 0.1000977"," 0.5000000"," 1.20007320","-1.50","0","420","-100","882995","-386.1500","108","2002.75","1117.5","1384.6","4530.25","1718.7","-384.5625","-1.5875244","-2.2874756"," 0.9625244","-0.000874672","-0.001872425","-0.003937382","-0.003937382","-0.001514061","-0.002327340","-0.001710062","-0.001324430","-0.003182658","-0.004694497","-386.1500","-386.1500",NA,"-0.014156075"," -2.8367991"," 0.106624340"," 0.9625244","3306"
"2","12/15/15","07:00:00","2023.00","1114.2","4586.75","1734.3","1381.4","25200000","7","0","0","20437","15","12","3307","2015","  8.75","  5.000000"," 3.6999512"," 4.599976"," 17.75"," 1.50"," 0.7999268","-0.2999268","-0.09997559"," 3.25","0","420","-100","883473","-403.0500","108","2014.25","1110.5","1376.8","4569.00","1729.3","-400.1875","-2.8625488","-4.9625244","-3.8999023"," 0.006718089"," 0.004344048"," 0.006231285"," 0.003331789"," 0.005449605"," 0.002891343"," 0.005755948"," 0.003884876"," 0.006411226"," 0.003341063","-403.0500","-403.0500",NA," 0.017793119","  5.6332140"," 0.026582381","-3.8999023","3307"
"3","12/16/15","07:00:00","2045.50","1134.0","4620.00","1755.8","1397.7","25200000","7","0","0","20438","16","12","3308","2015"," 12.75"," 12.700073"," 9.0999756"," 8.000000"," 32.50"," 2.50"," 1.7999268"," 0.9000244"," 2.10009770"," 5.00","0","420","-100","883958","-400.1250","108","2032.75","1124.9","1389.7","4587.50","1743.1","-399.6625","-0.4625244"," 0.7874756","-0.9625244"," 0.003680079"," 0.006272291"," 0.004517650"," 0.008089586"," 0.004749670"," 0.007285912"," 0.003747759"," 0.007084469"," 0.003878404"," 0.005756639","-400.1250","-400.1250",NA," 0.034488898"," 41.0239940","-0.013719998","-0.9625244","3308"
"4","12/17/15","07:00:00","2068.00","1148.6","4677.25","1769.8","1409.2","25200000","7","0","0","20439","17","12","3309","2015","  2.25","  1.700073"," 4.6999512"," 2.799927"," 13.00","-2.00","-1.1000977","-0.5000000","-0.59997559","-2.25","0","420","-100","884436","-402.4000","108","2065.75","1143.9","1406.4","4664.25","1768.1","-405.4125"," 3.0124512"," 3.4749756"," 2.8625488"," 0.002180761"," 0.001089193"," 0.003407028"," 0.004108708"," 0.002435598"," 0.000961526"," 0.004240472"," 0.002787158"," 0.002989289"," 0.001990847","-402.4000","-402.4000",NA," 0.010937431","  1.3084164","-0.069846272"," 2.8625488","3309"
"5","12/18/15","07:00:00","2015.00","1121.6","4558.75","1726.8","1377.5","25200000","7","0","0","20440","18","12","3310","2015","-15.00","-13.099976","-8.0999756","-9.400024","-26.00"," 3.50"," 2.5999756"," 1.7000732"," 2.30004880"," 9.00","1","420","-100","884916","-389.6500","108","2030.00","1129.7","1386.9","4584.75","1739.9","-392.8000"," 3.1500244"," 6.7249756"," 2.5125732","-0.004569594","-0.007389163","-0.003730745","-0.007170024","-0.004840884","-0.007529154","-0.002134180","-0.005670975","-0.004336827","-0.006777723","-389.6500","-389.6500",NA,"-0.034537040","-41.1960260"," 0.018330075"," 2.5125732","3310"
"6","12/21/15","07:00:00","2007.75","1119.9","4541.25","1713.4","1374.9","25200000","7","0","0","20443","21","12","3313","2015"," 11.00","  8.300049"," 4.4000244"," 5.700073"," 31.75"," 1.00"," 0.2999268"," 0.0000000"," 0.00000000"," 0.00","0","420","-100","885398","-385.9125","108","1996.75","1115.5","1369.2","4509.50","1705.1","-382.0625","-3.8499756","-3.1374512"," 0.4000244"," 0.007780148"," 0.005508952"," 0.005837974"," 0.003944441"," 0.007230644"," 0.004867779"," 0.008438350"," 0.007040692"," 0.006662744"," 0.004163069","-385.9125","-385.9125",NA," 0.025524933"," 16.6300600"," 0.086012274"," 0.4000244","3313"
"7","12/22/15","07:00:00","2019.00","1123.9","4567.50","1720.9","1381.0","25200000","7","0","0","20444","22","12","3314","2015","  8.00","  5.500000"," 1.9000244"," 3.300049"," 13.50","-0.25"," 0.2999268","-0.2000732","-0.69995117","-1.50","0","420","-100","885869","-390.3500","108","2011.00","1122.0","1377.7","4554.00","1715.4","-386.2500","-4.0999756","-4.3375244","-1.5374756"," 0.002109443"," 0.003978120"," 0.000178049"," 0.001693426"," 0.002037964"," 0.003206249"," 0.001095890"," 0.002964427"," 0.001522935"," 0.002395332","-390.3500","-390.3500",NA," 0.014237555","  2.8860657","-0.005234921","-1.5374756","3314"
"8","12/23/15","07:00:00","2043.00","1138.6","4608.00","1744.3","1398.3","25200000","7","0","0","20445","23","12","3315","2015"," 13.00"," 12.500000"," 6.5000000"," 7.800049"," 27.00","-1.25","-0.1000977","-0.2999268","-0.30004883","-1.75","0","420","-100","886337","-393.6500","108","2030.00","1132.1","1390.5","4581.00","1731.8","-390.4000","-3.2500000","-3.7000732"," 2.5250244"," 0.003684599"," 0.006403941"," 0.002906656"," 0.005741542"," 0.005244409"," 0.007217923"," 0.003812221"," 0.005893910"," 0.002581270"," 0.005609528","-393.6500","-393.6500",NA," 0.030866845"," 29.4087600","-0.007358590"," 2.5250244","3315"
"9","12/24/15","07:01:00","2053.25","1148.4","4612.50","1748.9","1409.2","25260000","7","1","0","20446","24","12","3316","2015"," -4.25"," -2.400024"," 0.0000000","-2.000000"," -5.75"," 1.00"," 0.7999268"," 1.0000000"," 1.00000000"," 2.50","0","421"," -99","886792","-391.5375","108","2057.50","1148.4","1411.2","4618.25","1751.3","-394.7250"," 3.1875000"," 2.4250488"," 0.7125244"," 0.000243576","-0.002065614"," 0.002444177"," 0.000000000"," 0.001144885","-0.001370424"," 0.001356852","-0.001245060"," 0.000781177","-0.001417234","-391.5375","-391.5375",NA,"-0.006098332"," -0.2267948","-0.064611502"," 0.7125244","3316"
"10","12/28/15","07:01:00","2042.25","1142.6","4598.25","1737.4","1403.5","25260000","7","1","0","20450","28","12","3320","2015","-15.25","-13.900024","-5.8000488","-7.699951","-20.00"," 1.50","-0.2000732"," 0.5000000"," 0.40002441"," 3.00","0","421"," -99","887049","-389.0875","108","2057.50","1148.4","1411.2","4618.25","1751.3","-394.7250"," 5.6374512"," 1.3125000","-3.0124512","-0.004144825","-0.007411907","-0.003053835","-0.005050547","-0.004184058","-0.007936975","-0.002711056","-0.004330645","-0.003974151","-0.005456315","-389.0875","-389.0875",NA,"-0.030186389","-27.5063820","-0.041027792","-3.0124512","3320"
"11","12/29/15","07:00:00","2058.50","1147.9","4638.00","1753.1","1413.8","25200000","7","0","0","20451","29","12","3321","2015"," 10.00","  9.500000"," 3.5000000"," 4.600098"," 21.75"," 4.25"," 3.5999756"," 2.0000000"," 2.39990230"," 8.50","1","420","-100","887525","-395.9750","108","2048.50","1144.4","1409.2","4616.25","1743.6","-391.9750","-4.0000000","-3.6374512","-0.6624756"," 0.004513847"," 0.004881621"," 0.003847857"," 0.003058371"," 0.004872177"," 0.005448497"," 0.004983749"," 0.004711617"," 0.003976777"," 0.003264333","-395.9750","-395.9750",NA," 0.021364439","  9.7515688"," 0.043680839","-0.6624756","3321"
"12","12/30/15","07:00:00","2068.75","1157.4","4684.75","1759.9","1418.7","25200000","7","0","0","20452","30","12","3322","2015"," -3.00"," -3.799927","-0.6999512","-2.100098"," -3.25","-1.25","-0.9000244","-0.3000488"," 0.20007324","-2.00","0","420","-100","887973","-394.1625","108","2071.75","1158.1","1420.8","4688.00","1763.7","-395.7125"," 1.5500488"," 2.2375488","-1.1750488","-0.001929803","-0.001448051","-0.001725030","-0.000604396","-0.002324249","-0.002154520","-0.001332339","-0.000693259","-0.001618613","-0.001478109","-394.1625","-394.1625",NA,"-0.006378336"," -0.2594909","-0.062234595","-1.1750488","3322"
"13","12/31/15","07:00:00","2050.75","1140.9","4638.75","1748.1","1405.0","25200000","7","0","0","20453","31","12","3323","2015"," -4.25"," -2.500000","-3.7999268","-2.699951"," -5.75","-2.00","-2.5999756","-0.5999756","-1.19995120","-7.50","0","420","-100","888430","-397.1625","108","2055.00","1144.7","1407.7","4644.50","1750.6","-396.5500","-0.6124268","-1.2874756"," 2.9874268","-0.002068127","-0.002068127","-0.002099208","-0.003319583","-0.001485106","-0.001428082","-0.001453019","-0.001238024","-0.001066477","-0.001917988","-397.1625","-397.1625",NA,"-0.009971803"," -0.9915647"," 0.024130067"," 2.9874268","3323"
